Geography [note 1],Date,Units,BodyType,Up to 1 year,1 up to 2 years,2 up to 3 years,3 up to 4 years,4 up to 5 years,5 up to 6 years,6 up to 10 years,10 up to 13 years,13 years and over,Unknown [note 2],Total,Average age since first use (years)
Wales,2007 Q4 (end December),Thousands,Light goods vehicles,11.2,10.7,11.6,13.5,13.7,13.3,44,19.4,19.1,6.7,163.2,7.6
Wales,2008 Q4 (end December),Thousands,Light goods vehicles,8.6,10.4,11,13.1,14.8,14.4,46,20.7,19.2,6.3,164.5,7.8
Wales,2009 Q4 (end December),Thousands,Light goods vehicles,6.8,8.6,10.9,12.6,14.8,16,50.4,21.2,20,6,167.3,8
Wales,2010 Q4 (end December),Thousands,Light goods vehicles,7.5,6.2,8.5,12,14,15.5,55.3,22.2,21.4,6.1,168.7,8.3
Wales,2011 Q4 (end December),Thousands,Light goods vehicles,7.8,7.4,6.4,9.9,13.7,15,58.7,24.3,23,6,172.2,8.6
Wales,2012 Q4 (end December),Thousands,Light goods vehicles,8,7.8,7.7,7.2,11.5,14.8,60.9,28,24.5,5.7,176,8.8
Wales,2013 Q4 (end December),Thousands,Light goods vehicles,8.4,8,8.1,8.5,8.2,12.6,60.8,32.4,26.5,5.5,179,9
Wales,2014 Q4 (end December),Thousands,Light goods vehicles,9.6,8.5,8.2,9,9.7,8.7,58,36.5,30.5,5.4,184.1,9.2
Wales,2015 Q4 (end December),Thousands,Light goods vehicles,11,9.9,9,9,10.6,10.6,51.8,38.9,35.2,5.2,191.1,9.3
Wales,2016 Q4 (end December),Thousands,Light goods vehicles,11.2,11.5,10.4,10.3,10.2,11.8,47.8,39.9,41,5.1,199.1,9.4
Wales,2017 Q4 (end December),Thousands,Light goods vehicles,10.3,11.6,12.3,11.9,11.6,11.2,45.4,39.6,46.4,4.9,205.1,9.5
Wales,2018 Q4 (end December),Thousands,Light goods vehicles,11.2,10.7,12.7,13.8,13.3,12.4,44,37.8,51.3,4.9,212.2,9.6
Wales,2019 Q4 (end December),Thousands,Light goods vehicles,11.5,11.9,11.6,14.3,15.8,14.6,48.5,32.3,56.3,4.8,221.8,9.6
Wales,2020 Q4 (end December),Thousands,Light goods vehicles,10.5,11.8,12.6,12.9,15.8,17.1,53.3,30,61.2,4.6,229.6,9.8
Wales,2021 Q4 (end December),Thousands,Light goods vehicles,13.2,10.6,11.9,13.2,14,17.2,59.9,31.5,67.6,4.7,243.9,10
Wales,2022 Q4 (end December),Thousands,Light goods vehicles,10.5,13.3,10.6,12.2,13.9,15,67.7,35,69.5,4.6,252.3,10.2
Wales,2023 Q4 (end December),Thousands,Light goods vehicles,12.4,10.2,12.9,10.3,13,15.2,71.3,37.5,72.6,4.6,260,10.5
Wales,2024 Q4 (end December),Thousands,Light goods vehicles,11.7,12.9,10.3,13.3,11.1,14.8,72.1,41,75.8,4.6,267.5,10.6
Wales,2025 Q4 (end December),Thousands,Light goods vehicles,10.5,12.8,13.3,10.9,14.9,12.4,69.6,49.2,78.5,4.6,276.5,10.8
Wales,1994 Q4 (end December),Thousands,Motorcycles,1.6,1.3,1.2,1.3,1.7,1.6,5,3.5,6.9,1.9,26,11.5
Wales,1995 Q4 (end December),Thousands,Motorcycles,1.6,1.2,1.1,1.1,1.3,1.6,4.7,3,7.4,2.4,25.4,12
Wales,1996 Q4 (end December),Thousands,Motorcycles,2.1,1.2,1.1,1.1,1,1.2,5,2.8,8.5,3,27,12.8
Wales,1997 Q4 (end December),Thousands,Motorcycles,3.1,1.6,1.1,1,1,1,4.5,2.5,8.4,3.5,27.8,12.4
Wales,1998 Q4 (end December),Thousands,Motorcycles,4.2,2.4,1.6,1.1,1,1,4.3,2.3,8.6,4,30.4,11.8
Wales,1999 Q4 (end December),Thousands,Motorcycles,5,3.3,2.2,1.5,1.1,1,3.9,2.4,8.3,4.3,33,10.9
Wales,2000 Q4 (end December),Thousands,Motorcycles,5.4,3.8,3,2.1,1.5,1,3.5,2.5,8.1,4.4,35.2,10.4
Wales,2001 Q4 (end December),Thousands,Motorcycles,5.2,4.3,3.6,2.9,2,1.5,3.5,2.5,8.1,4.4,38,10
Wales,2002 Q4 (end December),Thousands,Motorcycles,5.4,4.2,4,3.4,2.8,2,4,2.4,8.4,4.8,41.5,9.7
Wales,2003 Q4 (end December),Thousands,Motorcycles,5.6,4.4,4,3.7,3.4,2.8,5.3,2.3,8.8,5,45.1,9.6
Wales,2004 Q4 (end December),Thousands,Motorcycles,5,4.8,4.1,3.8,3.7,3.4,7.3,2.4,9.3,5.2,48.8,9.7
Wales,2005 Q4 (end December),Thousands,Motorcycles,5.3,4.1,4.4,3.7,3.5,3.5,9.2,2.5,9.3,5.1,50.7,9.8
Wales,2006 Q4 (end December),Thousands,Motorcycles,5.6,4.5,3.8,4,3.4,3.3,10.7,2.9,9.2,4.8,52.2,9.7
Wales,2007 Q4 (end December),Thousands,Motorcycles,5.9,4.7,4,3.5,3.7,3.2,11.6,3.9,9.4,4.8,54.7,9.7
Wales,2008 Q4 (end December),Thousands,Motorcycles,5.6,4.9,4.2,3.5,3.2,3.5,11.7,5.2,9.7,4.8,56.4,10
Wales,2009 Q4 (end December),Thousands,Motorcycles,4.5,4.7,4.4,3.6,3.2,3,11.5,6.3,10.8,4.7,56.8,10.6
Wales,2010 Q4 (end December),Thousands,Motorcycles,3.7,3.8,4.2,3.7,3.2,3,10.7,6.7,11.7,4.6,55.2,11.3
Wales,2011 Q4 (end December),Thousands,Motorcycles,3.6,3.2,3.4,3.6,3.4,3,10.5,6.8,13.1,4.6,55.1,11.8
Wales,2012 Q4 (end December),Thousands,Motorcycles,3.5,3.1,2.9,3,3.3,3.1,10,6.5,14.3,4.6,54.4,12.3
Wales,2013 Q4 (end December),Thousands,Motorcycles,3.8,3,2.8,2.5,2.7,3.1,10,6.4,15.8,4.7,54.7,12.8
Wales,2014 Q4 (end December),Thousands,Motorcycles,4,3.1,2.6,2.5,2.4,2.6,10,6.1,16.9,4.8,54.9,13.2
Wales,2015 Q4 (end December),Thousands,Motorcycles,4.6,3.4,2.8,2.3,2.2,2.2,9.6,5.8,17.6,5,55.6,13.3
Wales,2016 Q4 (end December),Thousands,Motorcycles,5.2,4,3.2,2.5,2.1,2,8.9,5.6,18.6,5.1,57.4,13.2
Wales,2017 Q4 (end December),Thousands,Motorcycles,4.2,4.5,3.6,2.8,2.4,1.9,8,5.7,19,5.1,57.2,13.5
Wales,2018 Q4 (end December),Thousands,Motorcycles,4.7,3.6,4.2,3.3,2.6,2.1,7.1,5.7,20.1,5.4,58.6,13.9
Wales,2019 Q4 (end December),Thousands,Motorcycles,4.9,4,3.3,3.7,3,2.4,6.6,5.4,21.1,5.7,60.2,14.2
Wales,2020 Q4 (end December),Thousands,Motorcycles,4.7,4.3,3.8,3,3.3,2.8,7,4.8,22.2,6.1,62,14.5
Wales,2021 Q4 (end December),Thousands,Motorcycles,5.2,4.1,4,3.4,2.8,3.2,7.9,4.4,23.6,6.4,65.1,14.7
Wales,2022 Q4 (end December),Thousands,Motorcycles,5.3,4.5,3.8,3.6,3.3,2.6,9.2,4.1,24.5,6.6,67.6,14.9
Wales,2023 Q4 (end December),Thousands,Motorcycles,5.6,4.5,4.1,3.2,3.2,3,9.4,4.1,24.4,6.7,68.2,15
Wales,2024 Q4 (end December),Thousands,Motorcycles,5.3,4.8,4.1,3.6,2.9,2.9,9.7,4.3,24.5,6.7,68.8,15.2
Wales,2025 Q4 (end December),Thousands,Motorcycles,4.3,4.8,4.4,3.6,3.3,2.7,10,4.9,24.6,6.7,69.3,15.4
Wales,1994 Q4 (end December),Thousands,Other vehicles,2.3,1.7,1.2,1.2,1.6,1.9,6,4,11.8,1.7,33.5,12.4
Wales,1995 Q4 (end December),Thousands,Other vehicles,2.5,1.8,1.6,1.1,1.1,1.5,6,3.7,10.6,2.7,32.6,12.1
Wales,1996 Q4 (end December),Thousands,Other vehicles,2.2,1.9,1.7,1.5,1.1,1.1,6,3.3,11.4,2.8,33,12.6
Wales,1997 Q4 (end December),Thousands,Other vehicles,2,1.6,1.9,1.7,1.5,1.1,5.6,3.3,11.5,2.8,33,12.8
Wales,1998 Q4 (end December),Thousands,Other vehicles,1.5,1.6,1.6,1.8,1.6,1.4,4.9,3.5,12.1,3,33,13.4
Wales,1999 Q4 (end December),Thousands,Other vehicles,1.5,1.2,1.5,1.5,1.7,1.6,4.5,3.6,12,3.1,32.2,14
Wales,2000 Q4 (end December),Thousands,Other vehicles,1.4,1.1,1.1,1.5,1.4,1.6,4.5,3.3,12.1,3.1,31.2,14.6
Wales,2001 Q4 (end December),Thousands,Other vehicles,1.7,1,1,1,1.3,1.3,4.7,2.8,12.3,3.1,30.3,15.1
Wales,2002 Q4 (end December),Thousands,Other vehicles,2.2,1.3,1,0.9,0.9,1.3,5.1,2.4,13,3.2,31.4,15.3
Wales,2003 Q4 (end December),Thousands,Other vehicles,2.4,1.8,1.2,1,0.9,1,5.4,2.6,13.8,3.3,33.5,15.2
Wales,2004 Q4 (end December),Thousands,Other vehicles,2.5,2.1,1.8,1.2,1,0.9,5.2,3.1,14.8,3.4,35.8,15.3
Wales,2005 Q4 (end December),Thousands,Other vehicles,2.7,2.1,1.9,1.6,1.1,1,4.5,3.7,15.4,3.5,37.5,15.7
Wales,2006 Q4 (end December),Thousands,Other vehicles,2.6,2.3,1.9,1.8,1.6,1.1,3.9,3.8,15.6,3.6,38.1,15.8
Wales,2007 Q4 (end December),Thousands,Other vehicles,2.9,2.1,2.1,1.8,1.6,1.5,3.6,3.7,16.3,4.2,39.8,15.8
Wales,2008 Q4 (end December),Thousands,Other vehicles,2.8,2.5,2,1.9,1.6,1.5,4,3,16.8,4.8,40.9,16.1
Wales,2009 Q4 (end December),Thousands,Other vehicles,2.6,2.3,2.3,1.8,1.8,1.5,4.6,2.6,17.7,5.6,42.8,16.7
Wales,2010 Q4 (end December),Thousands,Other vehicles,2.4,2.2,2.2,2.2,1.7,1.7,5.1,2.2,18.1,6.2,44,17
Wales,2011 Q4 (end December),Thousands,Other vehicles,2.6,2.2,2.1,2,2.1,1.7,5.7,2.4,18.6,6.7,46.2,17.2
Wales,2012 Q4 (end December),Thousands,Other vehicles,2.8,2.5,2.1,2,1.9,2,6,2.8,19,7.4,48.5,17.3
Wales,2013 Q4 (end December),Thousands,Other vehicles,2.6,2.7,2.4,2,1.9,1.8,6.3,3.3,19.3,7.5,49.7,17.5
Wales,2014 Q4 (end December),Thousands,Other vehicles,2.6,2.5,2.6,2.2,1.9,1.8,6.4,3.7,19.8,7.8,51.1,17.7
Wales,2015 Q4 (end December),Thousands,Other vehicles,2.5,2.5,2.4,2.4,2.2,1.8,6.5,4,20.4,7.8,52.5,17.8
Wales,2016 Q4 (end December),Thousands,Other vehicles,2.5,2.3,2.4,2.2,2.3,2.1,6.6,4,21.4,8,53.8,18
Wales,2017 Q4 (end December),Thousands,Other vehicles,2.6,2.4,2.2,2.2,2,2.2,6.9,4.3,22.8,7.8,55.5,18.4
Wales,2018 Q4 (end December),Thousands,Other vehicles,2.7,2.5,2.3,2.1,2.1,2,7.2,4.4,23.8,8.3,57.5,18.6
Wales,2019 Q4 (end December),Thousands,Other vehicles,2.5,2.5,2.3,2.1,2,2.1,7.6,4.4,24.8,9,59.2,18.9
Wales,2020 Q4 (end December),Thousands,Other vehicles,2.6,2.5,2.5,2.3,2.1,2,8.1,4.5,25.5,9.7,61.7,18.9
Wales,2021 Q4 (end December),Thousands,Other vehicles,3,2.5,2.4,2.4,2.2,2.1,7.8,4.7,26.5,9.6,63.4,19
Wales,2022 Q4 (end December),Thousands,Other vehicles,2.9,2.9,2.5,2.3,2.3,2.1,7.5,5.1,27.2,10.2,65.1,19.1
Wales,2023 Q4 (end December),Thousands,Other vehicles,3.2,2.7,2.8,2.4,2.2,2.2,7.5,5.1,27.9,10.1,66,19.2
Wales,2024 Q4 (end December),Thousands,Other vehicles,2.8,3.1,2.6,2.7,2.3,2.2,7.6,4.9,28.7,9.8,66.7,19.4
Wales,2025 Q4 (end December),Thousands,Other vehicles,3,2.7,3,2.5,2.6,2.2,7.7,4.7,29.7,10,67.9,19.5
Wales,1994 Q4 (end December),Thousands,Total,78.3,81.1,73.4,79.7,107.4,123,377.6,164.4,92.1,23.8,1200.90,7.1
Wales,1995 Q4 (end December),Thousands,Total,81.4,86.7,82.7,78.4,82.8,106.6,396.1,170.4,97.8,25.3,1208.10,7.2
Wales,1996 Q4 (end December),Thousands,Total,87.4,89.6,89.3,87,82.5,83.2,416.6,181.9,120.6,26.8,1264.80,7.4
Wales,1997 Q4 (end December),Thousands,Total,91,93.7,92.9,94.2,91.3,82.8,399,196.7,132.3,27.9,1301.80,7.5
Wales,1998 Q4 (end December),Thousands,Total,97.6,98.3,97.9,97.5,99.1,92.2,369.6,213.9,140.8,30,1336.70,7.5
Wales,1999 Q4 (end December),Thousands,Total,100.1,105.5,102.8,102.5,102.5,100.8,347.2,236.9,148.5,32.7,1379.60,7.5
Wales,2000 Q4 (end December),Thousands,Total,94.5,98.1,101.8,103.1,106.3,103.2,343.9,240.2,154.5,34.4,1380.00,7.6
Wales,2001 Q4 (end December),Thousands,Total,109.9,102.4,103,107.6,111.4,108.3,367.2,219.5,167.9,36,1433.10,7.5
Wales,2002 Q4 (end December),Thousands,Total,118.1,117.5,107.6,110.2,117.2,115.3,395.4,196.4,180.8,38.3,1496.80,7.4
Wales,2003 Q4 (end December),Thousands,Total,119.5,129.2,119.5,113.1,118.4,119.3,416.9,188.4,180.7,42.3,1547.40,7.3
Wales,2004 Q4 (end December),Thousands,Total,122.1,131.2,132.4,128.3,122.8,121.8,438,202,172.3,46,1616.90,7.2
Wales,2005 Q4 (end December),Thousands,Total,115,132.4,135.4,138.9,137.7,125.3,453.2,214.1,164.5,47.4,1663.90,7.2
Wales,2006 Q4 (end December),Thousands,Total,111.8,125.1,135,138.9,147.1,139.4,460.4,216.2,159.9,46.6,1680.20,7.2
Wales,2007 Q4 (end December),Thousands,Total,112.3,120.3,128.3,137.7,145.4,148.5,480.6,226.2,165.7,46.4,1711.30,7.3
Wales,2008 Q4 (end December),Thousands,Total,100.3,123.5,124.5,130.8,144.6,146,504,233.9,170.9,44.8,1723.40,7.4
Wales,2009 Q4 (end December),Thousands,Total,93.9,108.3,127.6,125.5,138.3,146,528.7,238.2,179.1,43.6,1729.20,7.6
Wales,2010 Q4 (end December),Thousands,Total,91.9,98.5,110.6,127.6,131.1,138.6,546.2,249.3,192.2,46.9,1733.00,7.9
Wales,2011 Q4 (end December),Thousands,Total,85.2,99.7,101,112.6,135.5,133.5,549.3,274.7,205.5,45.4,1742.40,8.1
Wales,2012 Q4 (end December),Thousands,Total,91,93.7,102.7,101.3,120.2,137.6,537.6,305.3,223.4,44.2,1757.00,8.3
Wales,2013 Q4 (end December),Thousands,Total,103.8,100.4,96.4,102.9,106.9,121.7,528.9,328.1,242.7,42.7,1774.50,8.5
Wales,2014 Q4 (end December),Thousands,Total,111.4,112,102,96.1,109,107.5,506,337.9,274.4,41.9,1798.30,8.6
Wales,2015 Q4 (end December),Thousands,Total,115.5,120.6,113.4,101.7,103.9,110.8,477.2,331.4,311.4,40.6,1826.50,8.7
Wales,2016 Q4 (end December),Thousands,Total,114.6,126.2,123.7,116.9,110.4,107.2,460.2,325.8,343.6,39.6,1868.30,8.7
Wales,2017 Q4 (end December),Thousands,Total,103.5,126.4,131,127.5,125.7,113.7,435.6,323,366.9,37.9,1891.10,8.8
Wales,2018 Q4 (end December),Thousands,Total,102.4,115.1,131.7,132.3,137.4,128.8,432.8,312.9,388.4,37.7,1919.40,8.9
Wales,2019 Q4 (end December),Thousands,Total,102.1,112.9,119.7,135.1,143.8,141.5,456.7,295.5,411.2,37.7,1956.30,9
Wales,2020 Q4 (end December),Thousands,Total,74.7,108.9,114.8,119.4,142.9,147.4,491.2,284.8,440.8,37.4,1962.30,9.3
Wales,2021 Q4 (end December),Thousands,Total,80.2,79.3,111.7,115.7,129.6,147.4,537.3,287.2,466.2,37.6,1992.20,9.6
Wales,2022 Q4 (end December),Thousands,Total,78,81.3,79.3,112.5,122.1,133.3,575.3,303,495.7,38.3,2018.70,10
Wales,2023 Q4 (end December),Thousands,Total,90.4,78.7,81.9,78,118.2,124.9,581.7,329.5,525.1,38.1,2046.40,10.2
Wales,2024 Q4 (end December),Thousands,Total,90.7,94.7,79.9,83,85.3,123.3,565.7,367.7,546.8,37.8,2074.90,10.4
Wales,2025 Q4 (end December),Thousands,Total,86.4,97.5,96.7,80.1,90.9,88.8,543.1,405.6,578.8,38.2,2106.20,10.6
Great Britain,1994 Q4 (end December),Thousands,Buses and coaches,9.6,8.1,8.1,8.4,11.2,13,40,19.7,32,3.7,153.7,8.8
Great Britain,1995 Q4 (end December),Thousands,Buses and coaches,11.6,9.7,8.1,8,8.2,10.9,42.2,19.8,31.1,3.9,153.5,8.7
Great Britain,1996 Q4 (end December),Thousands,Buses and coaches,11.9,11.6,9.7,7.9,7.9,8,43.1,20.3,33,4.2,157.6,8.9
Great Britain,1997 Q4 (end December),Thousands,Buses and coaches,12.4,11.7,11.6,9.7,7.9,7.8,40.1,21.1,34,4.5,160.7,8.9
Great Britain,1998 Q4 (end December),Thousands,Buses and coaches,13.2,12.2,11.8,11.6,9.6,7.7,35.7,22.2,32.8,4.7,161.3,8.7
Great Britain,1999 Q4 (end December),Thousands,Buses and coaches,12.9,13,12.3,12.1,11.9,9.7,32.2,25.4,33.6,5,168.1,8.7
Great Britain,2000 Q4 (end December),Thousands,Buses and coaches,12.4,12.8,13.2,12.6,12.2,12,31.9,26.3,33.9,5.2,172.6,8.6
Great Britain,2001 Q4 (end December),Thousands,Buses and coaches,10.3,12.1,12.6,13.2,12.6,12,35.8,23.2,34.6,5.2,171.6,8.7
Great Britain,2002 Q4 (end December),Thousands,Buses and coaches,12.1,10.2,12,12.7,13.2,12.4,39.7,19.3,36.2,5.2,173,8.7
Great Britain,2003 Q4 (end December),Thousands,Buses and coaches,13.1,11.9,9.9,11.9,12.8,13,43.4,17.3,36.1,5.3,174.7,8.7
Great Britain,2004 Q4 (end December),Thousands,Buses and coaches,12.9,13,11.8,10.1,12,12.7,46.7,19.1,33.8,5.6,177.7,8.6
Great Britain,2005 Q4 (end December),Thousands,Buses and coaches,12.8,12.5,12.8,11.8,10.2,11.9,46.9,22.1,32.1,5.4,178.4,8.6
Great Britain,2006 Q4 (end December),Thousands,Buses and coaches,11.9,12.5,12.6,12.8,11.7,10,46.4,24,30.1,5.1,177,8.6
Great Britain,2007 Q4 (end December),Thousands,Buses and coaches,11.6,11.7,12.3,12.3,12.7,11.6,43.8,26.1,30,4.9,176.9,8.7
Great Britain,2008 Q4 (end December),Thousands,Buses and coaches,11.4,11.2,11.7,12.2,12.4,12.4,42.2,26.7,30.6,4.6,175.5,8.8
Great Britain,2009 Q4 (end December),Thousands,Buses and coaches,9.3,11.3,11.5,11.7,12.2,12.2,42.4,27.1,31.6,4.4,173.7,8.9
Great Britain,2010 Q4 (end December),Thousands,Buses and coaches,8.3,9,11.1,11.2,11.5,12,43.3,26.6,33,5.3,171.2,9.2
Great Britain,2011 Q4 (end December),Thousands,Buses and coaches,8.3,8.4,9,10.9,11.2,11.4,45.2,23.9,34.8,5.1,168.1,9.4
Great Britain,2012 Q4 (end December),Thousands,Buses and coaches,9.5,8.3,8.3,8.8,10.8,11.1,45.2,24.3,35.2,4.8,166.3,9.5
Great Britain,2013 Q4 (end December),Thousands,Buses and coaches,8.7,9.5,8.3,8.2,8.8,10.7,44.1,26.1,35.5,4.7,164.5,9.7
Great Britain,2014 Q4 (end December),Thousands,Buses and coaches,8,8.7,9.4,8.1,8.1,8.6,42.9,27.9,35.9,4.7,162.2,9.9
Great Britain,2015 Q4 (end December),Thousands,Buses and coaches,8.9,8,8.6,9.2,8.1,7.9,39.8,28.3,38.1,4.8,161.7,10.1
Great Britain,2016 Q4 (end December),Thousands,Buses and coaches,9.5,8.8,7.9,8.5,9.1,7.8,36.6,28.1,40.2,4.8,161.5,10.2
Great Britain,2017 Q4 (end December),Thousands,Buses and coaches,8.2,9.3,8.7,7.8,8.3,8.7,33.4,27.7,41.6,4.8,158.4,10.4
Great Britain,2018 Q4 (end December),Thousands,Buses and coaches,7.7,8.1,9.2,8.6,7.6,8,31.4,26.9,42.9,4.6,155,10.6
Great Britain,2019 Q4 (end December),Thousands,Buses and coaches,6.8,7.6,8,9,8.5,7.4,30.8,24.8,44.5,4.5,152,10.9
Great Britain,2020 Q4 (end December),Thousands,Buses and coaches,4.8,6.2,7,7.3,8,7.5,28.4,21.1,42.4,4,136.7,11.2
Great Britain,2021 Q4 (end December),Thousands,Buses and coaches,4.1,4.7,6.7,7.5,7.8,8.6,30.5,20,46.8,4.1,140.7,11.6
Great Britain,2022 Q4 (end December),Thousands,Buses and coaches,3.9,4.1,4.7,6.7,7.5,7.8,31.2,20.2,47.9,4,138.1,12
Great Britain,2023 Q4 (end December),Thousands,Buses and coaches,5.6,3.9,4.1,4.7,6.7,7.4,31,20.7,48.3,3.8,136.2,12.2
Great Britain,2024 Q4 (end December),Thousands,Buses and coaches,9.5,5.9,3.9,4,4.6,6.5,30.6,20.6,48.4,3.7,137.7,12.1
Great Britain,2025 Q4 (end December),Thousands,Buses and coaches,9.6,9.4,5.8,3.8,4,4.4,28.8,20.4,48.3,3.5,138,11.9
Great Britain,1994 Q4 (end December),Thousands,Cars,1718.20,1641.60,1454.10,1417.80,1784.00,2029.80,6497.10,2894.30,1329.50,432.8,21199.20,6.7
Great Britain,1995 Q4 (end December),Thousands,Cars,1741.20,1746.30,1620.70,1411.80,1416.50,1755.90,6737.80,3063.80,1466.50,433.6,21394.10,6.8
Great Britain,1996 Q4 (end December),Thousands,Cars,1827.40,1758.20,1732.10,1579.30,1413.70,1398.80,6980.50,3246.80,1847.90,452.8,22237.50,7
Great Britain,1997 Q4 (end December),Thousands,Cars,1955.60,1834.20,1759.40,1692.40,1579.10,1395.90,6621.30,3458.40,2069.40,465.9,22831.70,7.1
Great Britain,1998 Q4 (end December),Thousands,Cars,2036.40,1964.30,1835.30,1731.70,1698.90,1564.10,6093.90,3672.20,2194.30,502.3,23293.30,7.1
Great Britain,1999 Q4 (end December),Thousands,Cars,2062.70,2068.80,1991.20,1820.90,1750.60,1694.60,5750.20,3983.90,2304.20,548,23974.90,7
Great Britain,2000 Q4 (end December),Thousands,Cars,2152.70,2066.80,2081.80,1954.80,1831.50,1733.20,5707.80,3940.30,2365.20,571.4,24405.50,7
Great Britain,2001 Q4 (end December),Thousands,Cars,2404.00,2157.10,2066.90,2028.40,1961.40,1817.20,6053.90,3532.30,2515.40,589.2,25125.90,6.9
Great Britain,2002 Q4 (end December),Thousands,Cars,2495.00,2408.10,2150.80,2019.70,2037.40,1942.70,6415.20,3091.80,2619.90,601.4,25781.90,6.7
Great Britain,2003 Q4 (end December),Thousands,Cars,2427.80,2497.30,2374.60,2077.70,2012.00,2005.70,6699.70,2974.50,2541.00,630,26240.40,6.6
Great Britain,2004 Q4 (end December),Thousands,Cars,2368.80,2459.10,2506.00,2352.40,2106.30,2004.90,7036.40,3167.20,2366.90,659.9,27028.10,6.6
Great Britain,2005 Q4 (end December),Thousands,Cars,2252.10,2414.40,2461.00,2463.70,2357.90,2088.60,7262.20,3331.90,2223.30,665.2,27520.40,6.6
Great Britain,2006 Q4 (end December),Thousands,Cars,2117.70,2268.90,2405.30,2402.70,2448.30,2327.10,7447.90,3370.60,2172.20,648.5,27609.20,6.7
Great Britain,2007 Q4 (end December),Thousands,Cars,2161.70,2163.60,2266.30,2351.20,2392.50,2422.00,7817.70,3542.30,2249.00,633.9,28000.30,6.8
Great Britain,2008 Q4 (end December),Thousands,Cars,1946.50,2224.40,2182.60,2221.20,2349.50,2369.50,8231.50,3721.00,2316.90,597.6,28160.70,6.9
Great Britain,2009 Q4 (end December),Thousands,Cars,1853.30,1977.80,2245.10,2151.40,2227.40,2335.70,8644.10,3825.20,2424.10,562.2,28246.50,7.1
Great Britain,2010 Q4 (end December),Thousands,Cars,1875.40,1854.30,1970.90,2198.10,2134.60,2197.30,8899.00,4087.80,2624.30,579.3,28420.90,7.3
Great Britain,2011 Q4 (end December),Thousands,Cars,1788.90,1882.10,1854.70,1928.20,2192.80,2118.10,8805.90,4543.50,2811.60,541.4,28467.30,7.5
Great Britain,2012 Q4 (end December),Thousands,Cars,1899.90,1797.20,1882.90,1821.30,1924.20,2179.50,8564.30,5039.80,3103.30,510.1,28722.50,7.7
Great Britain,2013 Q4 (end December),Thousands,Cars,2126.20,1904.10,1797.10,1847.00,1817.70,1907.60,8404.90,5385.60,3467.50,483.2,29140.90,7.8
Great Britain,2014 Q4 (end December),Thousands,Cars,2304.70,2104.40,1871.90,1719.30,1817.80,1785.20,7938.80,5458.60,3972.80,459.4,29432.90,7.9
Great Britain,2015 Q4 (end December),Thousands,Cars,2437.40,2298.70,2082.30,1812.60,1726.10,1797.30,7539.30,5349.60,4588.70,440.4,30072.50,7.9
Great Britain,2016 Q4 (end December),Thousands,Cars,2507.20,2452.00,2288.00,2025.60,1829.80,1712.40,7271.00,5227.10,5115.50,421.9,30850.40,8
Great Britain,2017 Q4 (end December),Thousands,Cars,2331.10,2503.00,2431.80,2211.90,2037.30,1810.60,6847.90,5158.80,5469.80,397.9,31200.20,8
Great Britain,2018 Q4 (end December),Thousands,Cars,2202.80,2356.20,2476.70,2348.20,2220.20,2013.20,6789.00,4955.70,5770.10,385.6,31517.60,8.1
Great Britain,2019 Q4 (end December),Thousands,Cars,2152.20,2196.90,2334.90,2406.90,2363.10,2201.80,7024.30,4744.80,6086.10,377.5,31888.40,8.2
Great Britain,2020 Q4 (end December),Thousands,Cars,1534.90,2126.20,2153.40,2221.50,2400.30,2341.90,7433.80,4568.00,6550.80,365.2,31696.00,8.5
Great Britain,2021 Q4 (end December),Thousands,Cars,1574.20,1526.80,2124.00,2101.50,2259.00,2401.60,8131.10,4551.40,6842.70,366.2,31878.60,8.8
Great Britain,2022 Q4 (end December),Thousands,Cars,1545.30,1541.60,1509.20,2092.20,2131.30,2263.70,8748.10,4654.30,7310.90,373.3,32169.90,9.1
Great Britain,2023 Q4 (end December),Thousands,Cars,1809.00,1511.10,1525.20,1459.60,2094.70,2121.60,8989.50,4906.00,7747.00,382.3,32546.00,9.4
Great Britain,2024 Q4 (end December),Thousands,Cars,1844.40,1776.10,1496.70,1478.80,1476.60,2089.60,8918.90,5397.20,8039.60,397,32914.80,9.6
Great Britain,2025 Q4 (end December),Thousands,Cars,1905.90,1824.00,1767.60,1452.60,1494.00,1476.10,8667.40,5941.50,8460.10,419,33408.20,9.7
Great Britain,1994 Q4 (end December),Thousands,Heavy goods vehicles,36.8,29,26.5,25.3,35.1,49.1,136.5,45.5,33.5,2.6,419.7,6.7
Great Britain,1995 Q4 (end December),Thousands,Heavy goods vehicles,44.1,36.7,28.1,25.3,24.5,33.1,141.2,50.8,33.2,4.7,421.7,6.6
Great Britain,1996 Q4 (end December),Thousands,Heavy goods vehicles,42.1,43.9,35.4,26.5,24,22.7,137.7,53.7,37.8,4.9,428.8,6.7
Great Britain,1997 Q4 (end December),Thousands,Heavy goods vehicles,40,44.1,42.5,34.1,25.4,22.2,121.5,57.6,42.5,4.9,435,6.8
Great Britain,1998 Q4 (end December),Thousands,Heavy goods vehicles,49,42.1,41.7,39.4,31.3,23.1,97.4,63.8,47,5,439.9,6.7
Great Britain,1999 Q4 (end December),Thousands,Heavy goods vehicles,48.4,49.2,39.5,39.1,38.6,30.3,82.7,73.1,52.1,5.3,458.3,6.7
Great Britain,2000 Q4 (end December),Thousands,Heavy goods vehicles,51.1,47.4,47.3,37.6,37.6,35.9,83,68,57.2,5.6,470.6,6.7
